序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
536,25013-15-4,2618,乙烯基甲苯异构体混合物[稳定的],-,-,"易爆介质;易燃液体,类别3",-,-,-,-,易燃液体,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2A生殖细胞致突变性,类别2特异性靶器官毒性一次接触,类别3(呼吸道刺激、麻醉效应)特异性靶器官毒性-反复接触,类别1危害水生环境-长期危害,类别3",-
537,109-92-2,1302,乙烯基乙醚[稳定的],乙基乙烯醚;乙氧基乙烯,-,"易爆介质;易燃液体,类别1",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。在空气中久置后能生成有爆炸性的过氧化物。容易发生自聚反应。禁配物:强氧化剂、氧、酸类。危险的分解产物:无资料",极易燃液体,"特异性靶器官毒性一次接触,类别3(麻醉效应)",-
538,689-97-4,-,乙烯基乙炔,-,-,"易爆介质;易燃气体,类别1",-,-,-,-,"极端易燃气体,内装高压气体,遇热可能爆炸",-,-
539,16672-87-0,2928,乙烯利,"乙烯磷,2-氯乙基膦酸",III,-,-,-,-,-,"皮肤接触会中毒,造成严重皮肤灼伤和眼损伤","急性毒性-经口,类别4急性毒性-经皮,类别3皮肤腐蚀/刺激,类别1C急性毒性-吸入,类别4危害水生环境-长期危害,类别2",-
540,30560-19-1,-,乙酰甲胺磷,-,IV,-,-,-,-,-,-,"急性毒性-经口,类别4",-
541,122-80-5,-,N-乙酰对苯二胺,对氨基苯乙酰胺;对乙酰氨基苯胺,-/IV,-,-,-,胺腐蚀,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:氮氧化物,"吸入可能导致过敏,可能引起皮肤过敏","严重眼损伤/眼刺激,类别2呼吸道致敏物,类别1皮肤致敏物,类别1",-
542,141-97-9,-,乙酰乙酸乙酯,乙酰醋酸乙酯,IV,"易爆介质;易燃液体,类别4",-,-,-,-,可燃液体,"急性毒性-经口,类别5皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2A",-
543,119-38-0,2991,"1-异丙基-3-甲基吡唑-5-基N,N-二甲基氨基甲酸酯[含量>20%]",异索威,I,易爆介质,-,-,-,-,"吞咽致命,皮肤接触会致命","急性毒性-经口,类别2*急性毒性-经皮,类别1",-
544,98-82-8,1918,异丙基苯,枯烯;异丙苯,-/IV,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、酸类、卤素等。危险的分解产物:无资料","易燃液体,禁止催吐","特异性靶器官毒性-一次接触,类别3(呼吸道刺激)吸入危害,类别1危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
545,64-00-6,2757,3-异丙基苯基-N-氨基甲酸甲酯,间异丙威,I,-,-,-,-,-,"吞咽会中毒,皮肤接触会致命,吸入会中毒","急性毒性-经口,类别3急性毒性-经皮,类别1急性毒性-吸入,类别3危害水生环境-急性危害,类别1",-
546,75-33-2,2402,异丙硫醇,硫代异丙醇;2-巯基丙烷,-,"易爆介质;易燃液体,类别2",-,-,-,与强氧化剂、酸类、酸酐、酰基氯、碱金属等禁配物发生反应。遇强酸能分解释出有毒气体。遇水释出有毒的腐蚀性气体。禁配物:强氧化剂、酸类、酸酐、酰基氯、碱金属。危险的分解产物:硫化氢、氧化硫,"高度易燃液体,可能引起皮肤过敏","严重眼损伤/眼刺激,类别2B皮肤致敏物,类别1B特异性靶器官毒性-一次接触,类别3(麻醉效应)危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
547,108-20-3,1159,异丙醚,二异丙基醚,-,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:无资料",高度易燃液体,"特异性靶器官毒性-一次接触,类别3(麻醉效应)危害水生环境-急性危害,类别3危害水生环境-长期危害,类别3",-
548,26087-47-8,3082,异稻瘟净,异丙稻瘟净,IV,-,-,-,-,遇强酸或碱分解。与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:氧化磷、氧化硫,-,"急性毒性-经口,类别4急性毒性-经皮,类别5危害水生环境-长期危险,类别2",-
549,78-81-9,1214,异丁胺,1-氨基-2-甲基丙烷;2-甲基丙胺,III,"易爆介质;易燃液体,类别2",-,-,胺腐蚀、碱腐蚀、碱脆,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、酸类。危险的分解产物:无资料","高度易燃液体,吞咽会中毒,可引起皮肤腐蚀","急性毒性-经口,类别3皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
550,538-93-2,2709,异丁基苯,异丁苯,-,"易爆介质;易燃液体,类别3",-,-,-,-,易燃液体,"皮肤腐蚀/刺激,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
551,78-82-0,2284,异丁腈,异丙基氰,II,"易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、强碱、强还原剂。危险的分解产物:无资料","高度易燃液体,吞咽会中毒,皮肤接触会致命,吸入会中毒","急性毒性-经口,类别3急性毒性-经皮,类别2急性毒性-吸入,类别3皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
552,78-84-2,2045,异丁醛,2-甲基丙醛,IV,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、强碱、氧。危险的分解产物：无资料,高度易燃液体,急性毒性-经口，类别4生殖细胞致突变性，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
553,79-31-2,2529,异丁酸,2-甲基丙酸,IV,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、碱类。危险的分解产物：无资料,易燃液体，可引起皮肤腐蚀,急性毒性-经口，类别4皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1危害水生环境-急性危害，类别3,-
554,97-72-3,2922,异丁酸酐,异丁酐,-,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、碱类。危险的分解产物：无资料,易燃液体，可引起皮肤腐蚀,皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
555,97-85-8,2528,异丁酸异丁酯,-,-,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱。危险的分解产物：无资料,易燃液体,特异性靶器官毒性一次接触，类别3（麻醉效应）危害水生环境-急性危害，类别3,-
556,75-28-5,1969,异丁烷,2-甲基丙烷,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、强酸、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸,-,-
557,115-11-7,1055,异丁烯,2-甲基丙烯,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。受热可能发生剧烈的聚合反应。禁配物：强氧化剂、强酸、卤代烃、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸；单纯性窒息,-,-
558,78-59-1,-,异佛尔酮,"3,5,5-三甲基环己烯-2-酮-1",IV,易爆介质；易燃液体，类别4,-,-,-,-,可燃液体，可能致癌,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别5皮肤腐蚀/刺激，类别3严重眼损伤/眼刺激，类别2A致癌性，类别2特异性靶器官毒性-一次接触，类别3危害水生环境-急性危害，类别3,-
559,4098-71-9,2478,异佛尔酮二异氰酸酯,IPDI,III*/II,-,-,-,-,与强氧化剂、碱类、醇类、胺类、水等禁配物发生反应。容易发生自聚反应。禁配物：强氧化剂、碱类、胺类、醇类、水。危险的分解产物：氰化氢、氮氧化物,吸入会中毒，吸入可能导致过敏，可能引起皮肤过敏,急性毒性-吸入，类别3*皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2呼吸道致敏物，类别1皮肤致敏物，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
560,624-83-9,2480,异氰酸甲酯,甲基异氰酸酯,II*/I,"易燃液体,类别2",-,-,-,"与强氧化剂、水等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱、酸类、醇类、水。危险的分解产物:氰化氢","高度易燃液体,吞咽会中毒,皮肤接触会中毒,吸入致命,造成严重眼损伤,吸入可能导致过敏,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1呼吸道致敏物,类别1皮肤致敏物,类别1生殖毒性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
561,149-73-5,3272,原甲酸三甲酯,原甲酸甲酯;三甲氧基甲烷,IV,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂、卤素等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、强碱、卤素。危险的分解产物:无资料",高度易燃液体,"急性毒性-吸入,类别4严重眼损伤/眼刺激,类别2",-
562,76-22-2,2717,樟脑,2-莰酮,IV,易爆介质,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强还原剂、卤化物、氯苯。危险的分解产物:无资料","可能引起皮肤过敏,造成严重眼损伤","急性毒性-经口,类别4急性毒性-吸入,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1皮肤致敏物,类别1生殖毒性,类别1B特异性靶器官毒性-一次接触,类别2(呼吸道刺激)",-
563,103-65-1,2364,正丙苯,丙苯；丙基苯；1-苯基丙烷,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,易燃液体，禁止催吐,特异性靶器官毒性-一次接触，类别3（麻醉效应）吸入危害，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
564,107-03-9,2402,正丙硫醇,1-巯基丙烷；硫代正丙醇；硫氢甲烷,IV,易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、酸酐、酰基氯、碱金属。危险的分解产物：硫化氢,高度易燃液体,急性毒性-经口，类别4急性毒性-吸入，类别4严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
565,111-43-3,2384,正丙醚,二正丙醚,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。在空气中久置后能生成有爆炸性的过氧化物。禁配物：强氧化剂、氧、卤素、过氯酸、硫、硫化物。危险的分解产物：无资料,高度易燃液体,特异性靶器官毒性-一次接触，类别3（麻醉效应）危害水生环境-急性危害，类别3,-
566,109-73-9,1125,正丁胺,1-氨基丁烷,IV/II,易爆介质；易燃液体，类别2,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、铝。危险的分解产物：无资料,高度易燃液体，可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别1A严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
567,71-36-3,1120,正丁醇,丁醇,IV,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、酰基氯、酸酐。危险的分解产物：无资料,易燃液体，造成严重眼损伤,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激、麻醉效应）,-
568,104-51-8,2709,正丁基苯,正丁苯,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,易燃液体,危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
569,109-74-0,2411,正丁腈,丙基氰,II,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、强还原剂。危险的分解产物：无资料,高度易燃液体，吞咽会中毒，皮肤接触会中毒，吸入致命,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别2,-
570,109-79-5,2347,正丁硫醇,1-硫代丁醇,IV/II,易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱、碱金属。危险的分解产物：硫化氢,高度易燃液体,急性毒性-经口，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别3严重眼损伤/眼刺激，类别2B生殖毒性，类别2特异性靶器官毒性-一次接触，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激、麻醉效应）,-
571,142-96-1,1149,正丁醚,氧化二丁烷；二丁醚,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、卤素、硫、硫化物。危险的分解产物：无资料,易燃液体,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
572,123-72-8,1129,正丁醛,丁醛,-/II,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下可发生聚合。禁配物：强氧化剂、强碱、强还原剂。危险的分解产物：无资料,高度易燃液体,危害水生环境-急性危害，类别3,-
573,107-92-6,2820,正丁酸,丁酸,-,易爆介质,-,-,低分子有机酸腐蚀,与碱类、强氧化剂等禁配物发生反应。禁配物：强氧化剂、碱类、强还原剂。危险的分解产物：无资料,可引起皮肤腐蚀,"皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别3",-
574,123-20-6,2838,正丁酸乙烯酯[稳定的],乙烯基丁酸酯,-,易爆介质；易燃液体，类别2,-,-,-,与氧化剂、酸类、碱类、卤素、过氧化物等禁配物接触，有发生火灾和爆炸的危险。禁配物：氧化剂、酸类、碱类、卤素、过氧化物。危险的分解产物：无资料,高度易燃液体,"皮肤腐蚀/刺激,类别3",-
